PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,MAX_PRICE,PRICE_SQFT,LISTING,AMENITIES
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,3,3,2,4,5,6,4,4,19500000,95588,R,"21,44,24,46,6,39,19,40,41,42,3"
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,4,4,2,4,5,6,1,4,33000000,96491,R,"5,24,19,3"
R,Residential Apartment,Gurgaon,Sector 74 Gurgaon,,0,3,3,3,4,3,6,9,30,65000,32,R,"2,20,21,44,23,46,47,29,19,1,6,30,33,12,25,26,3,31,101,102,103"
S,Residential Apartment,Gurgaon,Sector 59 Gurgaon,1,1,3,4,3,4,1,1,4,11,42500000,14290,R,"17,2,5,20,21,44,23,24,46,47,29,30,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
S,Residential Apartment,Gurgaon,Sector 62 Gurgaon,1,1,4,4,3,4,5,2,8,25,37500000,14839,R,"32,17,2,5,8,20,21,44,23,24,46,47,29,30,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
S,Residential Apartment,Gurgaon,Sector 37C Gurgaon,1,1,3,3,3,0,1,5,7,20,12260000,8173,R,"17,5,20,21,44,23,45,24,46,47,19,1,6,30,33,12,25,26,31,101,102,103"
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,4,6,2,4,5,1,7,34,250000,58,R,"10,17,2,5,8,20,21,44,23,24,46,47,29,19,1,6,9,40,41,42,43,25,26,31,12,3,101,102"
S,Residential Apartment,Gurgaon,Sector 53 Gurgaon,1,1,3,4,4,4,5,2,3,18,48500000,16753,R,"17,5,8,21,44,23,24,46,47,29,19,1,6,9,40,41,43,33,12,25,26,3,31,101,102"
S,Residential Apartment,Gurgaon,Sector 53 Gurgaon,1,1,3,4,4,4,5,2,4,18,49500000,17098,R,"17,5,21,32,44,23,24,46,29,19,1,6,9,40,41,42,43,33,12,25,26,3,31,101,102"
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,3,3,4,4,5,1,9,25,62000,31,R,"32,17,2,5,8,20,21,44,23,24,46,47,29,30,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,4,4,4,4,5,1,11,25,75000,29,R,"32,17,5,8,20,21,44,23,24,46,47,29,30,19,1,6,9,40,41,42,43,25,26,33,12,3,101,102"
S,Residential Apartment,Gurgaon,Sector 28 Gurgaon,1,1,3,4,3,4,4,1,2,12,36000000,13937,R,"17,5,20,21,23,24,46,47,28,19,1,6,9,40,41,42,43,33,12,25,26,3,31,101,102,103"
S,Residential Apartment,Gurgaon,Sector 67 Gurgaon,1,1,2,2,3,4,5,1,3,51,23000000,15646,R,"17,2,5,20,21,32,44,23,24,29,19,1,6,9,40,41,42,43,33,12,25,26,3,31,101,102"
